date,crop,region,season,pest,temperature,humidity,rainfall,wind_speed,soil_moisture,soil_ph,soil_type,nitrogen,phosphorus,potassium,weather_condition,irrigation_method,previous_crop,days_since_planting,plant_density,pest_presence,severity,recommended_treatment
2025-01-27,Sugarcane,Southwest,Autumn,Aphids,21.9,42.2,69.6,10.6,50.9,5.3,Loam,195.1,98.7,224.5,Sunny,Sprinkler,Soybean,19,27104,1,10,Immediate pesticide application recommended
2020-05-17,Sugarcane,Northeast,Autumn,Thrips,32.1,40.6,136.6,24.7,76.5,7.5,Peat,126.5,44.7,283.2,Dry,Drip,Sugarcane,58,36693,1,10,Immediate pesticide application recommended
2022-07-22,Sugarcane,North,Summer,Spider Mites,39.7,39.8,89.1,11.4,77.9,7.9,Clay,169.3,49.5,153.7,Humid,Flood,Cotton,41,67169,1,7,Monitor closely and consider treatment
2023-07-30,Tomato,Central,Winter,Root Knot Nematodes,34.2,91.4,127.4,7.4,41.5,5.5,Chalky,191.3,62.6,107.2,Humid,Flood,Tomato,42,32572,1,6,Monitor closely and consider treatment
2024-12-06,Sugarcane,East,Autumn,Stem Borers,17.8,73.7,78.0,23.2,46.4,8.0,Clay,114.9,58.3,269.2,Dry,Flood,Soybean,63,48173,1,10,Immediate pesticide application recommended
2020-09-20,Cotton,Northwest,Winter,Wireworms,32.6,43.8,20.5,0.4,34.5,7.1,Sandy,84.5,46.6,276.0,Windy,None,Potato,53,63178,1,10,Immediate pesticide application recommended
2020-03-16,Soybean,Southwest,Autumn,Boll Weevils,24.9,70.4,129.4,28.5,20.3,8.2,Sandy,103.5,29.5,164.8,Stormy,Flood,Barley,60,29656,1,5,Monitor closely and consider treatment
2023-05-26,Wheat,West,Winter,Boll Weevils,30.8,45.6,11.4,3.9,19.0,5.5,Silt,36.4,65.9,95.5,Humid,None,Barley,108,52399,1,3,Preventive measures recommended
2020-06-05,Barley,East,Spring,Corn Borers,31.7,41.2,28.8,1.2,21.8,6.0,Silt,43.6,13.4,80.2,Stormy,Sprinkler,Maize,142,50444,1,6,Monitor closely and consider treatment
2023-10-07,Tomato,West,Spring,Wireworms,27.6,74.9,5.9,24.0,54.0,5.3,Silt,176.0,92.5,65.3,Cloudy,None,Tomato,91,69496,1,10,Immediate pesticide application recommended
2025-06-04,Tomato,Southeast,Winter,Flea Beetles,19.6,43.6,55.6,14.5,53.3,6.3,Silt,97.9,76.0,59.2,Windy,Furrow,Soybean,73,75041,1,10,Immediate pesticide application recommended
2022-11-09,Soybean,Southwest,Winter,Hessian Fly,27.8,64.6,16.1,13.4,47.3,5.8,Silt,61.2,40.8,55.0,Rainy,Drip,Soybean,70,37807,1,8,Immediate pesticide application recommended
2023-07-12,Cotton,Southwest,Spring,Cutworms,18.0,87.9,89.0,20.4,65.2,6.7,Sandy,26.5,56.0,196.7,Cloudy,Furrow,Maize,64,24209,1,6,Monitor closely and consider treatment
2024-11-23,Sugarcane,Northeast,Winter,Thrips,22.1,53.6,96.9,17.1,34.9,8.5,Sandy,125.1,27.5,75.4,Sunny,Furrow,Sugarcane,15,76146,1,8,Immediate pesticide application recommended
2025-02-17,Sugarcane,Northwest,Spring,Spider Mites,19.7,48.5,26.0,26.9,15.6,6.8,Silt,88.0,98.3,78.0,Rainy,Furrow,Tomato,149,72420,1,6,Monitor closely and consider treatment
2025-10-11,Barley,Northwest,Summer,Japanese Beetles,19.3,73.5,139.4,16.7,50.0,6.0,Silt,156.2,22.8,130.9,Humid,Drip,Sugarcane,96,63835,1,6,Monitor closely and consider treatment
2025-06-19,Sugarcane,East,Winter,Cutworms,17.9,69.7,43.3,17.4,20.8,6.7,Peat,111.2,9.9,134.2,Dry,Drip,Sugarcane,16,25501,1,10,Immediate pesticide application recommended
2022-10-12,Sugarcane,East,Winter,Flea Beetles,21.4,74.3,114.0,17.9,43.0,6.4,Loam,76.3,93.3,257.7,Sunny,Furrow,Cotton,64,49799,1,10,Immediate pesticide application recommended
2022-12-23,Cotton,Southeast,Autumn,Thrips,38.5,41.8,10.0,22.2,50.2,7.9,Clay,36.6,80.6,100.4,Rainy,Furrow,Wheat,148,23413,1,10,Immediate pesticide application recommended
2024-01-11,Barley,South,Spring,Aphids,31.6,64.0,53.8,26.3,37.5,7.9,Sandy,93.4,40.8,165.7,Cloudy,Drip,Maize,71,28272,1,8,Immediate pesticide application recommended
2020-12-01,Rice,West,Winter,Japanese Beetles,20.8,88.5,57.6,16.3,73.5,7.2,Loam,32.2,94.3,206.9,Stormy,Sprinkler,Rice,51,40384,1,10,Immediate pesticide application recommended
2022-07-25,Wheat,Central,Winter,Stem Borers,30.5,64.7,134.1,23.7,20.6,6.1,Sandy,57.2,75.7,58.4,Windy,Drip,Barley,36,65691,1,10,Immediate pesticide application recommended
2023-07-29,Rice,North,Autumn,Thrips,23.6,83.4,16.6,25.4,18.9,6.4,Loam,161.5,19.2,107.3,Windy,Drip,Tomato,97,20829,1,10,Immediate pesticide application recommended
2024-06-09,Potato,South,Winter,Spider Mites,32.3,65.3,37.8,10.4,22.7,8.2,Silt,120.8,43.1,165.5,Windy,Sprinkler,Sugarcane,55,68090,1,10,Immediate pesticide application recommended
2022-02-01,Soybean,Southwest,Winter,Wireworms,27.6,69.7,2.7,26.2,75.2,7.0,Chalky,142.4,92.6,226.8,Humid,None,Soybean,92,75817,1,10,Immediate pesticide application recommended
2024-03-15,Rice,Central,Winter,Hessian Fly,25.6,77.9,140.2,27.8,41.6,5.4,Silt,197.1,84.7,81.2,Stormy,None,Sugarcane,96,21880,1,10,Immediate pesticide application recommended
2020-02-01,Cotton,East,Winter,Grasshoppers,29.8,55.9,8.2,10.1,66.2,5.0,Loam,73.4,42.8,184.3,Rainy,Flood,Soybean,80,56424,1,7,Monitor closely and consider treatment
2024-01-19,Tomato,West,Spring,Hessian Fly,33.4,59.4,33.7,13.6,19.9,5.6,Silt,104.7,44.8,278.7,Windy,Furrow,Tomato,71,65259,1,10,Immediate pesticide application recommended
2024-12-11,Potato,Northwest,Spring,Boll Weevils,15.3,73.1,26.7,28.8,20.4,6.5,Sandy,26.2,99.7,175.5,Rainy,Furrow,Barley,88,63513,1,10,Immediate pesticide application recommended
2022-08-10,Cotton,Northwest,Autumn,Thrips,20.2,88.4,30.8,5.7,12.6,6.7,Peat,117.3,11.2,243.9,Windy,Flood,Cotton,126,37754,1,4,Preventive measures recommended
2024-02-13,Soybean,West,Spring,Grasshoppers,25.0,66.4,23.3,5.5,70.3,8.3,Clay,80.9,30.7,211.0,Rainy,None,Maize,59,34180,1,10,Immediate pesticide application recommended
2022-07-28,Soybean,Southwest,Autumn,Corn Borers,15.7,44.4,34.7,20.2,11.4,5.4,Sandy,162.0,22.0,213.2,Stormy,Flood,Barley,102,31759,1,9,Immediate pesticide application recommended
2024-03-05,Wheat,Southwest,Summer,Japanese Beetles,33.1,85.6,124.5,11.9,56.8,5.7,Clay,65.7,90.2,53.3,Sunny,None,Soybean,42,61803,1,10,Immediate pesticide application recommended
2024-01-24,Rice,North,Autumn,White Grubs,25.5,88.0,122.6,10.3,28.2,6.3,Silt,122.2,30.5,206.0,Humid,Flood,Maize,23,36546,1,5,Monitor closely and consider treatment
2024-10-14,Rice,South,Winter,White Grubs,22.4,91.6,114.5,4.2,70.8,6.7,Peat,180.0,81.0,156.3,Sunny,Drip,Maize,48,73159,1,10,Immediate pesticide application recommended
2023-10-31,Soybean,South,Summer,Corn Borers,30.8,46.8,20.9,25.0,78.9,6.8,Silt,42.6,30.9,54.6,Dry,None,Barley,143,44928,1,9,Immediate pesticide application recommended
2021-10-17,Potato,Central,Winter,Leafhoppers,21.9,66.0,97.7,24.9,24.4,5.0,Peat,36.0,90.5,268.5,Dry,Drip,Rice,63,60993,1,10,Immediate pesticide application recommended
2023-10-31,Soybean,South,Summer,Hessian Fly,19.4,89.4,62.8,11.5,46.3,5.2,Peat,41.6,75.1,70.7,Cloudy,Drip,Maize,10,46772,1,8,Immediate pesticide application recommended
2021-12-26,Potato,Central,Spring,Hessian Fly,22.2,53.1,107.9,8.9,49.6,6.7,Chalky,136.1,94.0,233.1,Rainy,Flood,Potato,28,65048,1,8,Immediate pesticide application recommended
2020-07-04,Soybean,West,Winter,Corn Borers,27.4,68.8,50.1,23.1,17.5,5.3,Sandy,148.4,52.1,222.1,Dry,Sprinkler,Soybean,46,24679,1,10,Immediate pesticide application recommended
2024-08-04,Maize,Central,Autumn,Wireworms,35.0,75.2,40.8,17.7,35.3,5.3,Silt,184.3,18.0,287.6,Sunny,Flood,Sugarcane,79,52798,1,10,Immediate pesticide application recommended
2021-12-12,Potato,Northwest,Spring,Armyworms,36.8,77.6,121.0,19.8,58.5,8.0,Chalky,57.4,51.5,105.3,Humid,Flood,Soybean,16,25985,1,10,Immediate pesticide application recommended
2023-09-16,Wheat,Central,Spring,Flea Beetles,19.5,66.9,137.3,1.0,58.8,6.0,Peat,185.6,97.3,286.1,Humid,Furrow,Soybean,56,58360,1,10,Immediate pesticide application recommended
2023-07-02,Potato,South,Winter,Spider Mites,23.0,83.9,5.6,17.9,26.1,5.4,Loam,24.6,71.1,135.0,Humid,Flood,Rice,51,41614,1,9,Immediate pesticide application recommended
2023-06-09,Potato,Central,Winter,Armyworms,28.5,81.4,47.8,18.8,72.0,7.2,Clay,54.3,7.3,267.5,Humid,Flood,Soybean,92,27597,1,10,Immediate pesticide application recommended
2023-10-05,Tomato,North,Winter,Thrips,38.5,81.9,149.7,10.5,63.7,6.4,Sandy,101.2,64.6,268.4,Sunny,None,Cotton,137,60986,1,9,Immediate pesticide application recommended
2025-03-06,Wheat,West,Autumn,Cutworms,25.5,77.9,35.8,3.3,34.8,6.0,Silt,66.3,27.2,60.5,Rainy,Furrow,Rice,17,61289,1,9,Immediate pesticide application recommended
2020-12-30,Barley,East,Autumn,Aphids,24.6,74.2,32.7,28.5,65.0,5.3,Silt,89.3,88.5,286.2,Dry,Drip,Barley,39,50241,1,7,Monitor closely and consider treatment
2023-11-20,Maize,Northwest,Autumn,Whiteflies,39.8,45.1,141.4,19.5,52.5,6.8,Loam,53.8,21.8,105.1,Windy,Furrow,Potato,130,35973,1,8,Immediate pesticide application recommended
2023-07-13,Tomato,East,Winter,Grasshoppers,16.4,93.0,132.6,27.8,79.6,5.6,Peat,85.3,77.0,224.0,Dry,Sprinkler,Rice,80,70638,1,8,Immediate pesticide application recommended
2024-07-31,Cotton,Southwest,Autumn,Aphids,20.6,64.9,88.9,17.4,16.4,8.1,Chalky,60.5,17.3,272.2,Rainy,Flood,Potato,48,49264,1,10,Immediate pesticide application recommended
2023-06-30,Potato,Northeast,Autumn,Stem Borers,31.4,65.8,13.0,12.3,36.1,5.9,Loam,147.4,52.1,70.3,Humid,Sprinkler,Barley,108,35306,1,8,Immediate pesticide application recommended
2024-04-09,Wheat,Northeast,Winter,Stem Borers,36.3,62.2,72.1,17.8,67.7,6.2,Chalky,138.8,58.7,116.8,Humid,Sprinkler,Potato,19,28273,1,10,Immediate pesticide application recommended
2025-07-27,Cotton,South,Winter,Corn Borers,36.3,86.4,106.3,25.1,58.8,7.4,Silt,127.5,76.5,89.7,Dry,Drip,Maize,114,77077,1,9,Immediate pesticide application recommended
2025-09-26,Maize,South,Winter,Japanese Beetles,23.4,78.3,24.1,24.5,68.2,6.8,Peat,11.2,32.3,204.2,Rainy,Furrow,Rice,94,75859,1,7,Monitor closely and consider treatment
2025-10-27,Tomato,Southeast,Autumn,White Grubs,30.9,65.1,117.0,3.2,63.3,6.9,Peat,193.0,37.5,208.2,Stormy,Drip,Rice,70,61363,1,9,Immediate pesticide application recommended
2022-07-19,Soybean,West,Spring,Thrips,22.5,76.0,10.1,17.5,34.2,7.2,Chalky,18.7,87.8,293.4,Sunny,Drip,Potato,52,65482,1,8,Immediate pesticide application recommended
2024-07-08,Wheat,North,Autumn,Armyworms,34.0,31.6,3.3,9.7,44.2,7.7,Loam,139.8,47.4,118.4,Rainy,Flood,Sugarcane,47,36003,0,0,None
2024-12-16,Sugarcane,East,Summer,Flea Beetles,25.7,59.3,24.5,23.8,58.6,5.8,Peat,25.7,69.6,213.6,Sunny,Furrow,Barley,137,79823,1,7,Monitor closely and consider treatment
2024-08-25,Maize,West,Winter,Japanese Beetles,25.5,71.5,59.6,8.2,78.9,6.4,Loam,179.9,26.8,103.3,Humid,Drip,Potato,83,64407,1,9,Immediate pesticide application recommended
2022-07-27,Maize,South,Winter,Spider Mites,36.6,60.8,145.2,5.6,70.8,7.7,Loam,156.5,85.3,240.3,Dry,Furrow,Soybean,126,75397,1,9,Immediate pesticide application recommended
2022-07-06,Barley,Southeast,Winter,Corn Borers,38.0,70.1,119.5,14.4,18.2,5.4,Silt,140.3,45.9,100.1,Cloudy,None,Cotton,85,65827,1,6,Monitor closely and consider treatment
2021-12-15,Wheat,Southeast,Autumn,Aphids,21.7,81.8,46.6,13.7,10.8,5.3,Chalky,84.6,50.6,200.0,Dry,Drip,Potato,83,70838,1,7,Monitor closely and consider treatment
2023-10-01,Cotton,West,Summer,Japanese Beetles,34.5,32.6,72.1,3.1,26.9,8.5,Chalky,37.1,52.4,204.5,Windy,Sprinkler,Rice,20,40246,1,10,Immediate pesticide application recommended
2024-08-02,Wheat,Northeast,Summer,Boll Weevils,23.2,63.7,13.2,10.5,12.3,5.3,Loam,85.4,17.6,191.9,Rainy,Furrow,Maize,61,28661,1,10,Immediate pesticide application recommended
2020-08-21,Cotton,Southwest,Autumn,Flea Beetles,19.2,36.8,95.5,21.2,12.2,8.3,Silt,19.9,56.4,227.3,Rainy,Flood,Cotton,39,50692,1,10,Immediate pesticide application recommended
2023-11-13,Maize,West,Winter,Spider Mites,23.5,83.0,12.0,26.8,48.3,7.9,Silt,95.9,66.1,181.6,Sunny,Drip,Soybean,147,28099,1,9,Immediate pesticide application recommended
2024-10-10,Cotton,Central,Winter,Spider Mites,21.2,40.4,130.8,6.6,78.3,6.2,Chalky,44.6,80.0,214.7,Sunny,Sprinkler,Potato,16,60602,1,9,Immediate pesticide application recommended
2020-04-25,Cotton,West,Spring,Wireworms,20.7,94.8,146.2,19.5,24.0,7.4,Loam,23.7,7.9,114.4,Windy,Furrow,Rice,45,22971,1,9,Immediate pesticide application recommended
2025-09-14,Soybean,Northwest,Spring,Corn Borers,33.6,57.7,51.9,11.1,79.1,5.1,Peat,174.7,60.0,159.7,Cloudy,Sprinkler,Sugarcane,126,44314,1,10,Immediate pesticide application recommended
2025-11-14,Tomato,Southeast,Summer,Thrips,37.5,57.4,41.5,17.8,73.9,5.7,Clay,128.4,65.0,233.3,Windy,Furrow,Sugarcane,81,22144,1,8,Immediate pesticide application recommended
2025-06-26,Cotton,West,Winter,Wireworms,19.5,45.4,145.7,5.4,69.8,6.7,Loam,57.0,87.7,161.3,Cloudy,Drip,Cotton,149,79093,1,10,Immediate pesticide application recommended
2025-06-09,Cotton,North,Winter,Japanese Beetles,19.1,55.4,145.4,7.7,56.0,6.1,Clay,157.0,17.4,292.5,Cloudy,Furrow,Rice,64,62054,1,9,Immediate pesticide application recommended
2021-11-01,Wheat,North,Autumn,Hessian Fly,19.2,63.8,50.6,24.9,40.2,5.9,Peat,127.3,72.1,91.8,Cloudy,Sprinkler,Rice,63,58429,1,10,Immediate pesticide application recommended
2021-06-26,Barley,Northeast,Summer,Aphids,36.1,82.4,87.8,26.0,24.4,5.4,Sandy,61.3,10.4,182.8,Rainy,Sprinkler,Tomato,74,72331,0,0,None
2022-04-04,Rice,North,Summer,Aphids,22.9,63.0,6.2,4.5,79.1,8.4,Sandy,10.9,95.4,209.8,Rainy,None,Cotton,14,31419,1,10,Immediate pesticide application recommended
2023-01-29,Wheat,East,Winter,Whiteflies,27.2,73.3,20.9,0.9,31.6,7.5,Chalky,48.4,69.0,292.5,Sunny,Drip,Potato,124,70988,1,7,Monitor closely and consider treatment
2025-06-21,Tomato,South,Winter,Whiteflies,36.7,41.5,103.9,25.1,76.1,7.4,Peat,104.5,63.7,267.2,Cloudy,Drip,Tomato,87,50018,1,10,Immediate pesticide application recommended
2020-09-08,Wheat,North,Winter,Stem Borers,20.4,72.8,59.1,19.5,17.5,7.3,Chalky,199.9,9.6,294.3,Humid,Drip,Potato,123,24816,1,10,Immediate pesticide application recommended
2025-01-30,Cotton,East,Spring,Cutworms,29.2,78.0,131.8,12.1,32.9,7.3,Peat,163.5,77.4,249.5,Rainy,None,Tomato,93,44962,1,9,Immediate pesticide application recommended
2023-11-03,Tomato,Central,Winter,Whiteflies,28.6,30.4,48.7,11.0,37.7,7.4,Silt,83.8,47.6,109.4,Dry,Drip,Rice,65,48185,1,10,Immediate pesticide application recommended
2025-08-28,Barley,Southeast,Autumn,Wireworms,30.5,60.1,57.0,25.9,46.3,6.7,Silt,14.9,37.4,145.0,Humid,Drip,Cotton,119,40481,1,10,Immediate pesticide application recommended
2023-03-03,Soybean,Northeast,Summer,White Grubs,30.2,79.7,121.9,21.5,76.9,5.1,Clay,47.2,5.7,211.9,Sunny,Drip,Rice,120,26328,1,10,Immediate pesticide application recommended
2020-06-08,Maize,Southwest,Spring,Root Knot Nematodes,16.5,90.7,52.7,3.0,44.0,5.9,Clay,64.1,34.2,250.8,Windy,Furrow,Cotton,118,76891,1,10,Immediate pesticide application recommended
2020-12-02,Soybean,Central,Autumn,Corn Borers,32.9,47.7,62.0,3.7,22.7,7.4,Peat,44.5,54.9,227.3,Dry,Sprinkler,Maize,133,34696,1,5,Monitor closely and consider treatment
2024-10-08,Cotton,Southwest,Autumn,Corn Borers,39.1,61.4,120.9,16.5,13.0,7.2,Loam,190.8,62.2,254.8,Stormy,None,Barley,119,75388,1,8,Immediate pesticide application recommended
2021-07-17,Tomato,North,Autumn,Aphids,30.3,56.7,126.0,27.0,34.7,5.8,Loam,158.3,31.1,255.7,Cloudy,Flood,Cotton,99,20400,1,8,Immediate pesticide application recommended
2023-03-14,Maize,Southeast,Spring,Cutworms,30.6,59.4,88.0,5.0,61.6,8.0,Chalky,51.2,14.1,55.9,Windy,Drip,Rice,145,34098,1,10,Immediate pesticide application recommended
2021-05-04,Sugarcane,Northwest,Autumn,Flea Beetles,20.8,55.4,89.2,14.9,79.1,5.5,Loam,142.1,43.4,157.0,Rainy,Flood,Rice,23,30196,1,10,Immediate pesticide application recommended
2021-10-31,Wheat,South,Autumn,Wireworms,21.9,35.2,12.8,26.8,23.4,6.1,Silt,53.1,38.7,67.4,Windy,Furrow,Potato,116,37902,1,10,Immediate pesticide application recommended
2022-08-16,Tomato,South,Autumn,Thrips,37.0,72.3,79.9,9.7,33.3,7.3,Loam,198.9,67.9,189.4,Sunny,None,Potato,144,63721,1,8,Immediate pesticide application recommended
2022-03-04,Wheat,West,Winter,Armyworms,29.1,92.2,26.3,20.7,24.1,6.9,Sandy,28.4,47.8,239.0,Sunny,Flood,Barley,45,70080,1,10,Immediate pesticide application recommended
2024-07-12,Soybean,Northeast,Spring,Aphids,38.2,45.3,59.9,4.6,79.5,8.2,Chalky,112.6,85.0,180.2,Humid,Furrow,Maize,43,44917,1,8,Immediate pesticide application recommended
2020-08-29,Barley,Southwest,Autumn,Boll Weevils,18.2,83.7,117.3,21.3,12.5,6.1,Chalky,60.0,39.2,71.9,Humid,Drip,Sugarcane,14,50130,0,0,None
2025-04-04,Cotton,Southeast,Winter,Thrips,28.8,49.9,59.5,13.4,52.0,6.8,Clay,184.7,52.2,298.0,Rainy,Furrow,Wheat,93,31263,1,10,Immediate pesticide application recommended
