date,crop,region,season,yield_prediction,global_demand,weather_impact,economic_condition,supply_index,demand_index,inventory_level,export_demand,production_cost,days_to_harvest,fertilizer_usage,irrigation_usage,price_per_ton
2023-12-14,Maize,Southwest,Winter,5.71,low,excellent,recession,75.14,77.49,65.27,26.38,109.44,61,medium,low,66.98
2023-10-17,Tea,Southwest,Autumn,1.4,medium,excellent,growth,62.97,56.49,72.14,44.56,1075.6,159,medium,high,4022.86
2025-05-01,Maize,Northwest,Winter,5.33,medium,poor,growth,36.07,35.05,59.07,25.09,142.19,100,high,medium,297.85
2022-09-20,Barley,Central,Winter,5.94,low,excellent,stable,34.88,35.09,79.06,46.2,106.77,90,medium,medium,107.06
2020-07-18,Tomato,South,Summer,6.44,low,poor,stable,63.5,55.45,73.44,27.78,109.26,69,high,low,111.59
2023-04-25,Sugarcane,Southeast,Autumn,1.08,high,normal,stable,58.12,33.38,18.32,28.23,31.23,45,low,medium,82.15
2024-07-30,Coffee,North,Winter,7.74,medium,poor,stable,52.49,47.14,70.8,35.65,1954.03,106,medium,medium,2294.1
2022-11-10,Tomato,West,Winter,1.09,low,normal,stable,88.19,32.59,72.38,56.94,159.3,154,low,medium,152.0
2025-01-12,Tea,Southeast,Summer,7.79,medium,poor,growth,61.39,67.76,58.7,51.82,1841.34,166,low,medium,3770.19
2022-03-19,Coffee,North,Spring,5.09,high,normal,recession,84.07,32.73,29.67,86.53,1862.83,148,low,low,4183.08
2022-02-22,Sugarcane,Northeast,Summer,2.94,medium,normal,stable,41.29,57.82,34.73,60.86,16.94,127,medium,medium,63.11
2020-08-01,Rice,Northwest,Spring,7.82,high,excellent,recession,89.17,71.89,47.53,41.67,282.76,119,low,high,189.89
2024-01-11,Tea,North,Spring,7.38,low,poor,recession,79.35,86.99,60.8,62.94,1527.36,69,low,low,1959.35
2025-03-01,Tea,South,Summer,7.53,medium,excellent,stable,81.96,32.71,11.85,46.35,2115.83,124,low,high,1380.71
2023-03-12,Rice,East,Autumn,7.79,low,excellent,recession,80.53,80.3,42.81,49.04,174.68,109,high,high,135.63
2022-07-25,Sugarcane,West,Spring,1.39,high,excellent,growth,81.88,78.77,79.98,89.76,28.89,92,low,high,116.03
2025-07-04,Tea,South,Spring,4.15,medium,excellent,stable,37.75,87.24,52.43,36.0,1907.55,124,low,high,2626.59
2021-04-20,Cotton,North,Winter,5.33,medium,poor,stable,51.49,36.81,57.01,56.42,1235.09,122,high,medium,2507.78
2025-01-14,Sugarcane,East,Autumn,4.86,high,excellent,stable,63.66,82.6,38.24,29.38,15.72,149,medium,high,58.38
2025-03-11,Soybean,Northeast,Summer,6.29,low,normal,stable,67.22,72.24,24.91,29.55,138.27,92,medium,high,226.47
2023-01-07,Tea,Southeast,Autumn,3.75,low,normal,stable,56.25,84.25,34.38,55.98,2075.48,76,medium,low,2326.69
2021-08-16,Soybean,Northeast,Autumn,3.78,high,excellent,stable,67.33,81.74,76.47,30.3,343.48,172,low,high,322.08
2024-03-04,Rice,West,Winter,4.21,medium,excellent,recession,88.8,59.56,33.01,64.34,168.03,151,high,high,204.12
2024-12-11,Potato,North,Spring,1.53,medium,poor,stable,37.73,37.68,20.63,29.72,186.13,92,medium,high,676.28
2023-11-10,Cotton,Northwest,Autumn,7.28,medium,excellent,growth,58.44,70.05,22.06,33.46,576.78,114,medium,high,1068.97
2024-07-22,Soybean,Central,Autumn,2.18,low,poor,growth,46.72,40.62,16.21,28.44,238.68,79,medium,low,559.39
2022-05-29,Maize,West,Summer,4.52,high,normal,stable,71.42,32.36,65.96,63.95,68.18,180,high,high,209.51
2024-07-17,Rice,West,Autumn,7.12,low,normal,recession,85.25,33.66,29.38,76.43,269.65,107,low,high,189.46
2020-11-14,Maize,Central,Spring,3.59,low,excellent,stable,59.07,67.1,35.82,52.38,134.75,62,high,medium,108.52
2024-01-24,Wheat,Central,Winter,1.26,medium,normal,stable,45.15,72.8,72.66,55.82,141.51,77,low,medium,436.22
2024-10-14,Rice,South,Winter,4.73,medium,poor,growth,44.55,46.15,36.41,21.4,184.42,43,low,low,579.17
2023-10-31,Soybean,South,Summer,2.48,low,excellent,stable,49.65,37.19,72.34,61.55,287.8,87,high,medium,181.34
2020-11-04,Potato,Central,Winter,1.61,medium,excellent,growth,62.23,65.21,62.18,50.22,109.14,45,high,high,458.85
2020-08-21,Barley,West,Autumn,2.99,high,poor,recession,51.78,68.76,49.95,44.93,174.52,91,low,high,478.11
2021-12-20,Maize,North,Winter,1.71,medium,excellent,growth,39.17,44.76,21.25,33.06,88.51,150,medium,low,284.89
2025-08-16,Soybean,Central,Winter,2.21,low,excellent,recession,83.81,34.81,46.72,48.73,356.04,97,high,high,158.74
2020-08-09,Barley,Southeast,Spring,7.79,high,poor,growth,81.93,79.02,28.05,31.96,139.55,68,medium,low,380.08
2023-12-27,Wheat,East,Autumn,7.51,high,excellent,growth,63.41,64.3,29.6,73.86,98.38,103,medium,low,354.31
2020-05-03,Soybean,Southeast,Autumn,4.55,high,excellent,stable,44.54,36.89,52.74,40.2,265.78,142,low,high,355.17
2025-09-19,Sugarcane,Northeast,Autumn,2.08,low,poor,recession,58.87,61.96,13.63,43.56,18.36,177,high,low,55.71
2024-12-23,Soybean,North,Summer,2.78,medium,excellent,growth,70.89,75.61,51.69,53.01,227.66,143,medium,low,415.55
2020-11-20,Sugarcane,Northwest,Spring,3.44,medium,normal,stable,85.77,79.84,77.55,28.7,33.27,115,medium,high,36.11
2023-11-14,Maize,Northeast,Winter,5.02,high,normal,stable,80.51,38.39,65.67,34.11,76.37,132,high,low,177.69
2024-08-12,Rice,Northeast,Autumn,2.15,medium,poor,stable,78.87,69.91,46.61,45.12,295.44,161,low,high,686.13
2020-06-09,Potato,Southeast,Spring,4.07,low,excellent,stable,52.62,57.76,31.1,72.33,165.41,157,high,medium,214.66
2025-05-11,Barley,Central,Summer,2.63,medium,normal,growth,83.97,53.03,48.05,83.45,134.67,154,low,low,255.07
2021-11-29,Coffee,West,Summer,1.97,medium,excellent,recession,77.64,67.2,47.34,82.57,1735.75,171,medium,low,3441.17
2022-04-29,Rice,Northwest,Spring,2.06,high,poor,stable,48.7,44.91,62.08,22.35,233.98,104,high,high,737.4
2025-02-05,Sugarcane,Northwest,Winter,3.39,low,normal,growth,79.28,36.64,69.25,28.92,24.93,67,medium,low,27.2
2022-05-28,Tomato,East,Spring,6.58,medium,normal,stable,39.0,43.76,60.56,70.4,124.11,159,medium,low,186.06
2024-08-15,Soybean,Northwest,Summer,2.76,medium,excellent,stable,50.74,40.9,73.59,60.84,225.19,118,medium,high,291.31
2023-06-30,Sugarcane,Northwest,Autumn,4.23,low,excellent,recession,86.84,39.2,51.04,55.41,30.29,176,medium,low,17.99
2021-01-27,Wheat,Northeast,Winter,5.88,high,normal,stable,85.35,72.43,20.68,60.34,150.84,68,medium,low,433.72
2021-03-23,Tomato,Northeast,Spring,3.97,medium,poor,growth,74.19,86.06,74.79,51.56,71.32,146,low,high,346.64
2022-10-17,Sugarcane,East,Spring,5.14,medium,normal,stable,53.94,33.29,33.46,76.2,15.12,131,high,low,54.05
2025-04-02,Tea,Southwest,Winter,3.33,medium,excellent,growth,53.89,62.24,74.39,44.24,1420.43,154,high,low,2518.89
2025-12-26,Rice,West,Autumn,2.57,low,excellent,recession,57.15,38.45,22.35,54.89,203.79,141,low,high,189.26
2022-06-30,Rice,Northwest,Summer,7.4,high,normal,recession,51.74,64.84,54.26,20.92,252.71,41,medium,low,320.88
2021-07-13,Cotton,Northeast,Winter,1.6,low,poor,growth,89.81,60.13,51.68,24.7,1214.96,135,high,high,2129.69
2021-03-20,Maize,East,Spring,2.47,high,normal,growth,83.88,42.31,23.35,22.56,107.21,91,medium,high,248.11
2025-10-06,Barley,Northwest,Autumn,6.43,medium,normal,growth,57.2,61.46,40.85,48.05,127.56,32,medium,medium,185.74
2025-11-14,Tomato,East,Spring,2.09,medium,normal,growth,40.92,81.71,76.23,46.13,87.07,106,high,medium,263.96
2024-11-11,Soybean,Northwest,Autumn,1.18,low,normal,stable,39.37,72.96,56.12,21.9,184.94,57,low,medium,548.23
2025-10-31,Cotton,Central,Autumn,2.62,low,excellent,stable,70.31,31.18,17.29,75.99,700.69,100,low,high,1142.68
2025-04-13,Wheat,Northwest,Autumn,1.7,low,excellent,stable,44.59,73.34,69.9,78.12,124.65,86,high,low,366.29
2024-12-05,Soybean,East,Spring,5.68,high,excellent,recession,42.3,47.59,72.74,20.91,154.24,109,medium,low,296.55
2021-02-14,Cotton,East,Spring,3.95,medium,normal,growth,83.56,79.05,33.93,38.16,881.72,136,low,low,1565.86
2020-12-23,Tomato,Northeast,Autumn,5.13,low,normal,stable,46.08,67.45,38.66,58.64,103.61,105,high,medium,184.07
2020-10-07,Potato,South,Summer,6.35,low,excellent,growth,38.41,82.11,44.12,82.62,209.98,131,high,medium,237.52
2025-09-19,Sugarcane,North,Autumn,3.98,high,poor,stable,31.35,46.12,47.91,64.34,21.45,124,high,high,146.5
2024-10-10,Soybean,Southeast,Autumn,7.89,low,excellent,recession,61.54,40.3,29.06,21.29,340.72,150,low,high,135.0
2020-12-28,Cotton,West,Spring,1.82,high,normal,growth,64.59,46.44,48.79,65.6,1286.77,107,high,medium,3698.48
2021-02-25,Maize,North,Spring,5.2,medium,normal,recession,69.9,40.52,74.01,49.31,98.31,54,low,high,121.31
2021-04-25,Sugarcane,Northwest,Autumn,4.63,high,excellent,growth,32.82,39.98,61.66,25.8,30.08,168,medium,high,52.58
2021-11-06,Sugarcane,South,Winter,3.02,high,normal,stable,51.34,73.14,30.8,59.65,26.9,38,high,medium,86.39
2023-01-19,Potato,Northwest,Summer,5.65,medium,poor,growth,86.21,73.95,25.05,22.18,129.34,124,high,high,539.59
2025-06-16,Wheat,Southeast,Autumn,4.47,low,poor,stable,65.81,50.05,63.96,27.46,84.39,53,high,low,180.18
2024-09-17,Tea,North,Spring,6.1,medium,poor,recession,59.73,71.3,40.44,37.25,2128.65,174,low,low,2264.63
2021-02-07,Barley,West,Summer,2.91,medium,poor,growth,65.41,51.66,16.41,84.21,81.05,30,medium,low,551.76
2022-01-09,Tomato,Central,Summer,7.65,low,excellent,recession,56.76,41.11,47.93,81.11,133.22,63,low,medium,67.2
2024-06-22,Coffee,Northeast,Spring,5.85,low,normal,recession,80.95,44.98,44.26,35.48,1984.59,62,high,medium,983.15
2021-11-19,Rice,South,Winter,7.61,medium,normal,growth,32.37,72.33,74.77,32.64,233.59,57,medium,high,294.1
2023-08-17,Coffee,North,Autumn,7.47,medium,excellent,recession,88.26,86.66,43.19,80.34,1805.69,45,medium,medium,1594.01
2021-04-05,Tea,South,Winter,3.23,high,normal,recession,79.73,32.22,51.74,36.1,1080.85,50,medium,high,2190.52
2023-03-29,Rice,East,Autumn,3.38,high,excellent,growth,73.49,33.92,32.07,57.76,278.14,170,high,medium,417.73
2020-12-21,Coffee,Southwest,Autumn,3.23,medium,excellent,growth,67.55,83.16,53.11,36.31,780.5,140,low,high,1934.22
2023-05-23,Tea,Southwest,Summer,7.57,medium,normal,recession,77.93,89.88,34.55,73.7,1502.9,135,medium,medium,2379.47
2025-11-03,Sugarcane,South,Autumn,4.36,medium,normal,growth,67.65,82.42,78.89,73.78,25.44,95,medium,low,74.19
2023-03-03,Potato,South,Spring,2.67,low,poor,stable,36.63,51.28,30.11,40.74,125.04,54,high,high,427.21
2023-06-30,Maize,Southwest,Spring,1.29,high,excellent,growth,31.07,89.26,39.94,46.9,127.96,114,high,low,552.02
2024-04-25,Cotton,Southeast,Spring,7.61,medium,excellent,stable,58.04,66.8,21.69,89.38,748.5,120,low,high,1547.24
2022-05-15,Barley,East,Winter,7.6,low,poor,stable,68.98,66.46,45.89,36.15,85.42,172,medium,low,133.86
2025-08-05,Coffee,West,Winter,6.46,high,excellent,growth,51.01,33.47,77.84,81.87,1909.69,172,low,high,2091.41
2021-07-17,Soybean,North,Summer,7.96,medium,excellent,stable,40.43,53.77,63.08,68.72,169.63,116,medium,low,315.66
2024-07-06,Maize,Southeast,Spring,2.57,low,excellent,growth,62.22,65.58,50.61,26.4,147.75,37,low,high,111.19
2022-10-04,Barley,Southeast,Winter,2.86,medium,normal,recession,37.77,83.32,76.9,80.35,155.05,124,medium,high,276.16
2022-04-25,Coffee,South,Spring,1.61,low,poor,growth,54.51,52.36,28.18,70.64,1369.84,42,high,low,9284.85
2020-12-19,Potato,Southeast,Winter,1.57,high,normal,stable,43.21,71.0,15.33,79.58,164.27,99,low,high,1413.24
2022-08-16,Cotton,Southeast,Spring,6.77,medium,excellent,growth,50.87,70.68,49.6,38.69,1330.77,154,high,high,1207.9
2021-03-02,Wheat,West,Winter,6.58,high,poor,recession,69.51,81.03,70.71,69.59,179.63,82,medium,low,295.79
2023-03-27,Soybean,Central,Autumn,5.33,low,poor,stable,75.16,39.52,71.66,81.03,141.58,140,low,low,508.15
2023-11-29,Tomato,West,Autumn,6.78,low,normal,growth,37.73,50.11,62.05,31.25,141.8,40,medium,low,122.49
2023-06-12,Rice,Northeast,Winter,1.04,high,normal,growth,47.22,67.02,78.68,64.23,171.96,136,medium,low,1269.83
2020-11-24,Wheat,Northeast,Summer,5.44,high,normal,growth,62.4,76.79,17.49,73.27,142.66,122,low,medium,652.39
2021-11-19,Barley,Southeast,Winter,5.43,high,poor,stable,85.92,36.15,75.61,68.15,73.46,109,high,medium,359.57
2022-12-21,Cotton,East,Spring,3.11,high,excellent,recession,72.49,34.04,50.75,44.21,1098.82,165,high,low,1236.15
2021-04-19,Cotton,East,Summer,6.31,low,poor,stable,31.48,31.33,32.65,54.21,1233.37,80,low,high,1451.12
2025-10-17,Tea,South,Summer,5.78,high,normal,stable,56.75,46.42,79.8,49.83,1577.08,174,high,medium,3135.77
2022-07-29,Coffee,Northeast,Autumn,5.86,low,normal,recession,43.25,34.94,57.63,65.82,1091.57,150,medium,high,1069.39
2020-06-25,Soybean,North,Autumn,7.66,high,poor,stable,39.06,55.94,76.05,49.38,278.67,148,medium,low,742.43
2024-12-08,Cotton,Central,Spring,7.89,high,poor,growth,54.56,83.65,26.1,34.92,568.02,159,medium,medium,4007.48
2024-04-06,Tomato,North,Winter,5.56,high,excellent,recession,52.11,81.86,43.12,87.77,78.55,112,high,medium,308.45
2021-06-20,Maize,North,Winter,6.4,low,normal,growth,80.69,75.66,53.84,29.19,63.25,51,high,high,96.4
2022-05-28,Wheat,West,Winter,7.45,medium,excellent,growth,67.0,77.79,43.71,28.21,90.65,70,medium,medium,130.31
2020-10-20,Sugarcane,Southeast,Autumn,2.4,high,excellent,recession,59.5,33.85,50.74,38.83,34.94,115,low,medium,30.53
2024-12-15,Tomato,Southeast,Autumn,3.17,medium,excellent,growth,57.31,30.7,15.07,47.47,107.99,68,medium,low,168.55
2020-09-20,Tea,East,Autumn,5.86,medium,excellent,growth,81.61,76.79,12.77,53.64,1057.4,130,low,high,3676.75
2025-09-14,Soybean,Southwest,Winter,2.69,high,normal,recession,89.2,38.55,44.92,63.27,293.05,164,low,high,397.32
2024-02-19,Sugarcane,Southwest,Autumn,3.29,low,normal,stable,61.06,35.27,34.54,22.32,16.96,76,low,medium,22.42
2024-06-23,Barley,West,Summer,3.78,low,poor,stable,37.96,64.05,58.26,76.04,88.02,55,high,high,444.39
2025-04-25,Wheat,Northeast,Summer,1.22,high,normal,recession,86.17,33.12,47.89,69.63,183.87,71,low,high,349.98
2022-06-04,Maize,Northwest,Spring,6.0,medium,normal,growth,78.1,50.37,67.04,25.61,149.48,90,medium,high,164.53
2023-09-30,Potato,West,Summer,4.17,medium,normal,recession,68.61,61.58,61.21,25.71,99.05,124,high,high,193.59
2021-03-05,Potato,Central,Winter,2.73,high,excellent,stable,39.57,82.31,25.34,88.31,140.53,71,low,high,696.37
2020-09-17,Soybean,North,Winter,5.61,medium,excellent,recession,59.89,63.32,60.34,35.99,359.18,162,low,medium,221.68
2022-12-22,Maize,Central,Winter,7.82,high,poor,stable,69.02,41.97,57.62,25.05,63.07,53,low,medium,197.91
2023-03-10,Wheat,Southeast,Spring,7.08,medium,excellent,stable,73.63,74.56,39.78,44.22,121.38,90,medium,low,129.49
2020-04-29,Barley,North,Autumn,7.91,low,excellent,growth,32.41,82.02,50.51,50.7,145.78,115,low,low,141.5
2022-03-06,Soybean,Northwest,Summer,7.3,high,normal,stable,55.3,46.61,51.46,83.87,182.4,31,low,low,571.84
2022-01-10,Barley,East,Winter,5.36,low,normal,recession,67.89,73.99,19.21,70.11,165.99,107,low,low,187.12
2024-05-20,Sugarcane,Northwest,Spring,7.8,low,normal,growth,40.86,81.26,44.46,37.31,36.77,167,low,high,29.84
2023-07-18,Coffee,West,Summer,4.12,medium,normal,recession,60.89,51.55,51.51,31.45,1238.85,120,low,high,1413.57
2020-03-04,Maize,South,Autumn,6.41,low,excellent,growth,37.85,88.19,41.77,36.52,67.35,159,high,high,103.98
2023-01-14,Sugarcane,Northwest,Spring,2.19,high,normal,stable,61.19,50.22,68.02,50.16,21.22,94,high,low,59.03
2022-10-30,Rice,Northeast,Summer,2.17,high,excellent,growth,40.06,32.2,61.55,66.47,214.93,56,high,high,452.02
2025-11-30,Maize,North,Autumn,6.91,high,normal,growth,78.34,65.12,70.78,34.41,71.19,74,high,medium,134.95
2020-05-16,Potato,East,Summer,4.72,low,excellent,stable,86.2,32.36,18.55,51.65,230.08,39,medium,low,161.03
2020-04-23,Barley,North,Autumn,3.21,medium,excellent,stable,60.43,32.49,20.38,89.06,172.16,169,medium,medium,229.31
2023-02-17,Tea,West,Autumn,4.18,medium,poor,growth,60.94,59.33,56.68,29.78,944.96,114,medium,low,4742.12
2023-02-15,Sugarcane,Southeast,Winter,3.16,medium,normal,recession,72.28,42.11,57.14,87.89,17.35,157,high,medium,40.67
2024-08-21,Tomato,Central,Spring,7.08,high,normal,recession,40.63,71.56,68.67,86.12,128.32,140,high,low,292.38
2025-02-15,Soybean,Northeast,Spring,4.48,low,normal,growth,67.07,82.13,49.94,22.13,344.46,105,medium,medium,324.46
2022-05-03,Sugarcane,East,Winter,2.51,medium,normal,recession,69.53,53.63,55.59,27.46,31.45,120,high,medium,26.69
2025-10-11,Tea,North,Spring,8.0,high,excellent,stable,32.89,88.63,38.48,80.95,2073.58,123,high,high,4513.68
2022-01-03,Maize,North,Summer,7.15,high,excellent,stable,54.25,49.62,56.73,76.55,136.23,38,low,low,208.83
2023-02-26,Tea,Northeast,Autumn,6.58,medium,excellent,recession,56.13,79.07,18.41,58.11,908.64,69,high,medium,1903.57
2025-07-11,Cotton,Northwest,Spring,3.77,high,poor,growth,71.73,53.31,41.41,36.63,875.93,123,medium,medium,2762.13
2024-10-11,Soybean,West,Spring,2.59,low,excellent,recession,34.39,66.21,56.77,63.36,239.29,157,high,medium,279.06
2021-09-13,Rice,Central,Autumn,4.63,high,normal,recession,58.75,31.54,33.89,46.61,199.76,103,high,medium,351.41
2022-09-19,Rice,East,Spring,5.06,medium,poor,growth,62.02,66.47,63.54,76.91,263.62,143,low,high,1043.86
2025-12-15,Tea,Northeast,Spring,2.7,high,excellent,stable,85.62,33.62,75.41,44.61,1052.13,106,low,high,2476.34
2024-03-14,Tea,East,Autumn,4.4,high,poor,recession,45.41,47.09,31.51,76.21,1708.74,81,low,low,7527.91
2023-05-22,Wheat,Northeast,Autumn,6.01,medium,excellent,recession,46.36,54.81,18.53,32.68,160.14,52,low,medium,99.92
2020-08-18,Potato,Southwest,Winter,2.27,medium,excellent,recession,61.51,72.54,17.48,59.71,128.48,62,medium,high,230.21
2023-09-06,Potato,Northwest,Autumn,6.64,low,excellent,growth,63.01,32.6,54.32,86.6,180.24,180,low,low,150.17
2021-12-01,Tomato,North,Spring,6.73,high,poor,stable,83.05,43.68,24.84,62.77,101.1,72,low,medium,280.83
2025-04-25,Cotton,Southwest,Autumn,6.46,low,normal,recession,46.49,79.36,39.66,66.73,625.98,171,medium,low,869.61
2025-08-08,Soybean,Southwest,Spring,5.37,high,excellent,recession,57.11,65.2,21.76,71.58,329.13,178,low,low,621.3
2021-10-16,Coffee,Northeast,Spring,1.17,low,poor,recession,68.52,66.43,48.27,36.24,1238.63,177,medium,high,2656.59
2024-02-09,Coffee,Southeast,Spring,5.16,medium,excellent,growth,59.81,89.27,19.55,68.66,1255.4,104,high,medium,4309.32
2023-07-15,Barley,Southeast,Autumn,5.85,medium,poor,growth,89.48,37.7,17.29,70.7,129.62,45,low,medium,513.15
